StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID291,Q1. True or False,Q2. True or False,Q3. Easy MC,Q4. Easy MC,Q5. Hard MC,Q6. Hard MC,Timer_First Click,Timer_Last Click,Timer_Page Submit,Timer_Click Count,Q7. True or False,Q8. True or False,Q9. Easy MC,Q10. Easy MC,Q11. Hard MC,Q12. Hard MC,Q13. True or False,Q14. True or False,Q15. Easy MC,Q16. Easy MC,Q17. Hard MC,Q18. Hard MC,Timer_First Click,Timer_Last Click,Timer_Page Submit,Timer_Click Count,Q19. True or False,Q20. True or False,Q21. Easy MC,Q22. Easy MC,Q23. Hard MC,Q24. Hard MC,Q25. True or False,Q26. True or False,Q27. Easy MC,Q28. Easy MC,Q29. Hard MC,Q30. Hard MC,Timer_First Click,Timer_Last Click,Timer_Page Submit,Timer_Click Count,Q31. True or False,Q32. True or False,Q33. Easy MC,Q34. Easy MC,Q35. Hard MC,Q36. Hard MC,Q37. True or False,Q38. True or False,Q39. Easy MC,Q40. Easy MC,Q41. Hard MC,Q42. Hard MC,Timer_First Click,Timer_Last Click,Timer_Page Submit,Timer_Click Count,Q43. True or False,Q44. True or False,Q45. Easy MC,Q46. Easy MC,Q47. Hard MC,Q48. Hard MC,Q49. True or False,Q50. True or False,Q51. Easy MC,Q52. Easy MC,Q53. Hard MC,Q54. Hard MC,Timer_First Click,Timer_Last Click,Timer_Page Submit,Timer_Click Count,Q55. True or False,Q56. True or False,Q57. Easy MC,Q58. Easy MC,Q59. Hard MC,Q60. Hard MC,Q61. True or False,Q62. True or False,Q63. Easy MC,Q64. Easy MC,Q65. Hard MC,Q66. Hard MC,Timer_First Click,Timer_Last Click,Timer_Page Submit,Timer_Click Count,Q67. True or False,Q68. True or False,Q69. Easy MC,Q70. Easy MC,Q71. Hard Mc,Q72. Hard MC,Q73. True or False,Q74. True or False,Q75. Easy MC,Q76. Easy MC,Q77. Hard MC,Q78. Hard MC,Timer_First Click,Timer_Last Click,Timer_Page Submit,Timer_Click Count,Q79. True or False,Q80. True or False,Q81. Easy MC,Q82. Easy MC,Q83. Hard MC,Q84. Hard MC,Q85. True or False,Q86. True or False,Q87. Easy MC,Q88. Easy MC,Q89. Hard MC,Q90. Hard MC,Timer_First Click,Timer_Last Click,Timer_Page Submit,Timer_Click Count,Q91. True or False,Q92. True or False,Q93. Easy MC,Q94. Easy MC,Q95. Hard MC,Q96. Hard MC,Q97. True or False,Q98. True or False,Q99. Easy MC,Q100. Easy MC,Q101. Hard MC,Q102. Hard MC,Timer_First Click,Timer_Last Click,Timer_Page Submit,Timer_Click Count,Q103. True or False,Q104. True or False,Q105. Easy MC,Q106. Easy MC,Q107. Hard MC,Q108. Hard MC,Q109. True or False,Q110. True or False,Q111. Easy MC,Q112. Easy MC,Q113. Hard MC,Q114. Hard MC,Timer_First Click,Timer_Last Click,Timer_Page Submit,Timer_Click Count,Q115. True or False,Q116. True or False,Q117. Easy MC,Q118. Easy MC,Q119. Hard MC,Q120. Hard MC,SC0,SC1
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your ID number,1. Daytime sleepiness directly causes motoric cognitive risk.,2. Daytime sleepiness and lack of motivation are associated with a higher risk of developing motoric cognitive risk (MCR).,3. Which population is most commonly at risk for sleep-related cognitive decline?,4. Motoric cognitive risk syndrome is typically defined by the presence of which two clinical features?,5. What factor weakened the association between poor sleep quality and MCR?,6. What potential benefit does early screening for sleep disturbances provide?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,1. Daytime sleepiness directly causes motoric cognitive risk.,2. Daytime sleepiness and lack of motivation are associated with a higher risk of developing motoric cognitive risk (MCR).,3. Which population is most commonly at risk for sleep-related cognitive decline?,4. Motoric cognitive risk syndrome is typically defined by the presence of which two clinical features?,5. What factor weakened the association between poor sleep quality and MCR?,6. What potential benefit does early screening for sleep disturbances provide?,1. The skull whistle sounds were categorized alongside calming sounds like lullabies.,2. The sound of the Aztec skull whistle is often perceived as aversive and scary.,3. What kind of sound does the Aztec skull whistle produce?,4. What Aztec deity might the whistles symbolize?,5. Which auditory category best describes skull whistle sounds?,6. Why are skull whistle sounds particularly unsettling to listeners?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,1. The skull whistle sounds were categorized alongside calming sounds like lullabies.,2. The sound of the Aztec skull whistle is often perceived as aversive and scary.,3. What kind of sound does the Aztec skull whistle produce?,4. What Aztec deity might the whistles symbolize?,5. Which auditory category best describes skull whistle sounds?,6. Why are skull whistle sounds particularly unsettling to listeners?,1. Brain functional network development accelerates significantly around the time of birth.,2. There is an increase in both local and global efficiency in brain networks during the fetal to neonatal period.,3. Which imaging technique is most commonly used to assess functional brain connectivity in early development?,4. Which brain region goes under significant growth and reorganization after birth?,5. Which neural connections showed the most dramatic increase during the birth transition?,6. Which change in brain network connectivity is characteristic of the transition from fetal to neonatal stages?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,1. Brain functional network development accelerates significantly around the time of birth.,2. There is an increase in both local and global efficiency in brain networks during the fetal to neonatal period.,3. Which imaging technique is most commonly used to assess functional brain connectivity in early development?,4. Which brain region goes under significant growth and reorganization after birth?,5. Which neural connections showed the most dramatic increase during the birth transition?,6. Which change in brain network connectivity is characteristic of the transition from fetal to neonatal stages?,1. Fat cells in mammals retain a form of 'memory' that influences future weight regain after weight loss.,2. Mice carrying obesogenic memory exhibit accelerated rebound weight gain after weight loss.,"3. In weight management, what does the term 'obesogenic memory' refer to?",4. What type of diet accelerated weight regain in formerly overweight mice?,5. What is one consequence of epigenetic changes in fat cells after significant weight loss?,6. What broader implication does obesogenic memory have on global health?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,1. Fat cells in mammals retain a form of 'memory' that influences future weight regain after weight loss.,2. Mice carrying obesogenic memory exhibit accelerated rebound weight gain after weight loss.,"3. In weight management, what does the term 'obesogenic memory' refer to?",4. What type of diet accelerated weight regain in formerly overweight mice?,5. What is one consequence of epigenetic changes in fat cells after significant weight loss?,6. What broader implication does obesogenic memory have on global health?,1. DNA storage has the potential to surpass current silicon-based data storage technologies in density and energy efficiency.,2. Non-experts lacking professional biolab experience were able to implement the new DNA data storage system.,3. Which component is central to synthesis-free DNA data storage that mimics movable type printing?,"4. In epigenetic DNA data storage, how is binary information typically encoded?","5. In synthesis-free DNA data storage, what level of bit parallelism is typically achieved per writing reaction","6. Which strategy is being pursued to enable rapid, low-cost DNA data storage by avoiding traditional de novo synthesis?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,1. DNA storage has the potential to surpass current silicon-based data storage technologies in density and energy efficiency.,2. Non-experts lacking professional biolab experience were able to implement the new DNA data storage system.,3. Which component is central to synthesis-free DNA data storage that mimics movable type printing?,"4. In epigenetic DNA data storage, how is binary information typically encoded?","5. In synthesis-free DNA data storage, what level of bit parallelism is typically achieved per writing reaction?","6. Which strategy is being pursued to enable rapid, low-cost DNA data storage by avoiding traditional de novo synthesis?",1. True or False: A thermal interface material made from colloidal liquid metals and ceramic particles is a solid compound of aluminum and silicon.,2. The thermal interface material (TIM) can reduce pump electricity consumption by up to 65%.,3. What is a key feature of the gradient interface in the new TIM?,4. What is the primary material combination used in the TIM?,5. Why does the TIM outperform leading thermal conductors in practical applications?,6. What challenge in modern data centers does the TIM address?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,1. True or False: A thermal interface material made from colloidal liquid metals and ceramic particles is a solid compound of aluminum and silicon.,2. The thermal interface material (TIM) can reduce pump electricity consumption by up to 65%.,3. What is a key feature of the gradient interface in the TIM?,4. What is the primary material combination used in the new TIM?,5. Why does the TIM outperform leading thermal conductors in practical applications?,6. What challenge in modern data centers does the TIM address?,1. True or False: Some early-universe galaxies are thought to convert baryonic matter into stars more efficiently than later galaxies.,2. The discovery of massive galaxies during the Cosmic Dawn challenges the Λ cold dark-matter model,3. What is the redshift range of the massive dust-obscured galaxies studied?,4. Which space telescope is most commonly used to observe high-redshift galaxies in the early universe?,5. What does the JWST FRESCO program focus on?,6. Why do these massive galaxies stand out compared to most others observed in the early Universe?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,1. True or False: Some early-universe galaxies are thought to convert baryonic matter into stars more efficiently than later galaxies.,2. The discovery of massive galaxies during the Cosmic Dawn challenges the Λ cold dark-matter model,3. What is the redshift range of the massive dust-obscured galaxies studied?,4. What tool was used to study these massive galaxies?,5. What does the JWST FRESCO program focus on?,6. Why do these massive galaxies stand out compared to most others observed in the early Universe?,1. Quantum error correction aims to suppress errors in qubits by using additional physical qubits.,2. Quantum error correction can only achieve exponential suppression of logical errors if the physical error rate is below a critical threshold.,3. What is a key feature of quantum error correction?,"4. How often does the Willow processor experience correlated error events, according to the research?",5. Why is scaling physical qubits important in quantum error correction?,6. What does the exponential suppression of errors depend on in the Willow processor?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,1. Quantum error correction aims to suppress errors in qubits by using additional physical qubits.,2. Quantum error correction can only achieve exponential suppression of logical errors if the physical error rate is below a critical threshold.,3. What is a key feature of quantum error correction?,"4. How often does the Willow processor experience correlated error events, according to the research?",5. Why is scaling physical qubits important in quantum error correction?,6. What does the exponential suppression of errors depend on in the Willow processor?,1. True or False: Time crystals are defined as phases of matter that exhibit a repeating pattern in time under periodic driving.,2. Time crystals only exist in equilibrium states of matter.,3. What type of quantum system was programmed to exhibit time-crystal behavior?,4. Why are topological time crystals beneficial for quantum computing?,5. Which application is a key motivation for studying topological time crystals in quantum systems?,6. Which experimental signature is widely accepted as evidence for discrete time-translation symmetry breaking in quantum time crystals?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,1. True or False: Time crystals are defined as phases of matter that exhibit a repeating pattern in time under periodic driving.,2. Time crystals only exist in equilibrium states of matter.,3. What type of quantum system was programmed to exhibit time-crystal behavior?,4. Why are topological time crystals beneficial for quantum computing?,5. Which application is a key motivation for studying topological time crystals in quantum systems?,6. Which experimental signature is widely accepted as evidence for discrete time-translation symmetry breaking in quantum time crystals?,1. The Lafayette meteorite provides evidence that liquid water existed on Mars less than a billion years ago.,2. The water responsible for forming minerals in the Lafayette meteorite likely came from melting permafrost triggered by volcanic activity.,3. What key material in the Lafayette meteorite indicates past interaction with liquid water?,4. What caused the permafrost to melt and create liquid water on Mars?,5. What is a key broader implication of applying precise radiometric dating methods in planetary science?,6. Which radiometric dating method is commonly used to determine the age of aqueous alteration in meteorites?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,1. The Lafayette meteorite provides evidence that liquid water existed on Mars less than a billion years ago.,2. The water responsible for forming minerals in the Lafayette meteorite likely came from melting permafrost triggered by volcanic activity.,3. What key material in the Lafayette meteorite indicates past interaction with liquid water?,4. What caused the permafrost to melt and create liquid water on Mars?,5. What is a key broader implication of applying precise radiometric dating methods in planetary science?,6. Which radiometric dating method is commonly used to determine the age of aqueous alteration in meteorites?,Part1,Part2
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID291_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID21_FIRST_CLICK""}","{""ImportId"":""QID21_LAST_CLICK""}","{""ImportId"":""QID21_PAGE_SUBMIT""}","{""ImportId"":""QID21_CLICK_COUNT""}","{""ImportId"":""QID223""}","{""ImportId"":""QID224""}","{""ImportId"":""QID225""}","{""ImportId"":""QID226""}","{""ImportId"":""QID227""}","{""ImportId"":""QID228""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID43_FIRST_CLICK""}","{""ImportId"":""QID43_LAST_CLICK""}","{""ImportId"":""QID43_PAGE_SUBMIT""}","{""ImportId"":""QID43_CLICK_COUNT""}","{""ImportId"":""QID229""}","{""ImportId"":""QID230""}","{""ImportId"":""QID231""}","{""ImportId"":""QID232""}","{""ImportId"":""QID233""}","{""ImportId"":""QID234""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID63_FIRST_CLICK""}","{""ImportId"":""QID63_LAST_CLICK""}","{""ImportId"":""QID63_PAGE_SUBMIT""}","{""ImportId"":""QID63_CLICK_COUNT""}","{""ImportId"":""QID272""}","{""ImportId"":""QID273""}","{""ImportId"":""QID274""}","{""ImportId"":""QID275""}","{""ImportId"":""QID276""}","{""ImportId"":""QID277""}","{""ImportId"":""QID77""}","{""ImportId"":""QID78""}","{""ImportId"":""QID79""}","{""ImportId"":""QID80""}","{""ImportId"":""QID82""}","{""ImportId"":""QID81""}","{""ImportId"":""QID84_FIRST_CLICK""}","{""ImportId"":""QID84_LAST_CLICK""}","{""ImportId"":""QID84_PAGE_SUBMIT""}","{""ImportId"":""QID84_CLICK_COUNT""}","{""ImportId"":""QID241""}","{""ImportId"":""QID242""}","{""ImportId"":""QID243""}","{""ImportId"":""QID244""}","{""ImportId"":""QID245""}","{""ImportId"":""QID246""}","{""ImportId"":""QID247""}","{""ImportId"":""QID128""}","{""ImportId"":""QID129""}","{""ImportId"":""QID130""}","{""ImportId"":""QID131""}","{""ImportId"":""QID132""}","{""ImportId"":""QID96_FIRST_CLICK""}","{""ImportId"":""QID96_LAST_CLICK""}","{""ImportId"":""QID96_PAGE_SUBMIT""}","{""ImportId"":""QID96_CLICK_COUNT""}","{""ImportId"":""QID248""}","{""ImportId"":""QID249""}","{""ImportId"":""QID250""}","{""ImportId"":""QID251""}","{""ImportId"":""QID252""}","{""ImportId"":""QID253""}","{""ImportId"":""QID106""}","{""ImportId"":""QID107""}","{""ImportId"":""QID108""}","{""ImportId"":""QID109""}","{""ImportId"":""QID110""}","{""ImportId"":""QID111""}","{""ImportId"":""QID113_FIRST_CLICK""}","{""ImportId"":""QID113_LAST_CLICK""}","{""ImportId"":""QID113_PAGE_SUBMIT""}","{""ImportId"":""QID113_CLICK_COUNT""}","{""ImportId"":""QID254""}","{""ImportId"":""QID255""}","{""ImportId"":""QID256""}","{""ImportId"":""QID257""}","{""ImportId"":""QID258""}","{""ImportId"":""QID259""}","{""ImportId"":""QID124""}","{""ImportId"":""QID125""}","{""ImportId"":""QID133""}","{""ImportId"":""QID134""}","{""ImportId"":""QID135""}","{""ImportId"":""QID136""}","{""ImportId"":""QID144_FIRST_CLICK""}","{""ImportId"":""QID144_LAST_CLICK""}","{""ImportId"":""QID144_PAGE_SUBMIT""}","{""ImportId"":""QID144_CLICK_COUNT""}","{""ImportId"":""QID260""}","{""ImportId"":""QID261""}","{""ImportId"":""QID290""}","{""ImportId"":""QID263""}","{""ImportId"":""QID264""}","{""ImportId"":""QID265""}","{""ImportId"":""QID148""}","{""ImportId"":""QID149""}","{""ImportId"":""QID150""}","{""ImportId"":""QID151""}","{""ImportId"":""QID152""}","{""ImportId"":""QID153""}","{""ImportId"":""QID155_FIRST_CLICK""}","{""ImportId"":""QID155_LAST_CLICK""}","{""ImportId"":""QID155_PAGE_SUBMIT""}","{""ImportId"":""QID155_CLICK_COUNT""}","{""ImportId"":""QID266""}","{""ImportId"":""QID267""}","{""ImportId"":""QID268""}","{""ImportId"":""QID269""}","{""ImportId"":""QID270""}","{""ImportId"":""QID271""}","{""ImportId"":""QID165""}","{""ImportId"":""QID166""}","{""ImportId"":""QID167""}","{""ImportId"":""QID168""}","{""ImportId"":""QID169""}","{""ImportId"":""QID170""}","{""ImportId"":""QID172_FIRST_CLICK""}","{""ImportId"":""QID172_LAST_CLICK""}","{""ImportId"":""QID172_PAGE_SUBMIT""}","{""ImportId"":""QID172_CLICK_COUNT""}","{""ImportId"":""QID278""}","{""ImportId"":""QID279""}","{""ImportId"":""QID280""}","{""ImportId"":""QID281""}","{""ImportId"":""QID282""}","{""ImportId"":""QID283""}","{""ImportId"":""QID183""}","{""ImportId"":""QID184""}","{""ImportId"":""QID185""}","{""ImportId"":""QID186""}","{""ImportId"":""QID187""}","{""ImportId"":""QID188""}","{""ImportId"":""QID190_FIRST_CLICK""}","{""ImportId"":""QID190_LAST_CLICK""}","{""ImportId"":""QID190_PAGE_SUBMIT""}","{""ImportId"":""QID190_CLICK_COUNT""}","{""ImportId"":""QID284""}","{""ImportId"":""QID285""}","{""ImportId"":""QID286""}","{""ImportId"":""QID287""}","{""ImportId"":""QID288""}","{""ImportId"":""QID289""}","{""ImportId"":""SC_cPcQ7fS2zWvHkNM""}","{""ImportId"":""SC_4JcAtGqrHzrbecu""}"
2025-09-26 13:03:16,2025-09-26 13:25:10,0,128.82.4.174,100,1313,1,2025-09-26 13:25:11,R_6fzmg1MZISooEPn,,,,,36.8882,-76.3002,anonymous,EN,9,1,1,2,2,6,2,31.362,32.819,62.6,2,1,1,2,1,4,2,2,1,2,2,2,1,13.55,13.55,14.649,1,2,1,2,2,2,1,1,3,4,5,5,5,0,0,151.804,0,1,1,2,2,1,2,3,3,2,3,2,5,0,0,82.049,0,1,1,2,3,2,2,3,3,4,7,5,5,0,0,46.115,0,1,1,1,5,1,2,3,3,5,5,5,5,0,0,79.437,0,2,1,1,2,1,3,3,2,4,3,5,5,0,0,88.792,0,1,1,3,3,4,4,3,3,5,5,5,5,0,0,177.377,0,1,1,2,3,2,1,3,3,5,5,5,5,0,0,34.267,0,1,1,2,2,2,1,3,3,5,5,5,6,0,0,25.412,0,1,1,2,2,1,1,28,85
2025-10-02 16:09:52,2025-10-02 16:42:48,0,128.82.20.3,100,1976,1,2025-10-02 16:42:48,R_5J8ZcSpM0Dpmppo,,,,,36.8882,-76.3002,anonymous,EN,14,1,1,4,2,3,2,0,0,78.786,0,1,1,2,2,3,2,1,2,4,1,3,4,0,0,80.217,0,2,1,2,2,4,1,1,1,4,4,5,5,0,0,89.912,0,1,1,2,4,1,1,3,1,1,3,5,5,0,0,84.725,0,1,1,2,3,1,3,3,3,5,7,5,5,92.933,92.933,93.768,1,1,1,2,1,2,5,3,3,5,5,5,5,0,0,89.86,0,1,1,3,2,1,3,3,2,5,5,5,5,0,0,92.591,0,1,1,3,3,2,4,3,3,1,5,5,5,0,0,107.404,0,1,1,1,3,3,1,3,3,5,5,5,5,0,0,102.129,0,2,1,1,3,4,4,1,1,5,5,5,6,0,0,88.224,0,1,1,3,1,4,1,15,57
2025-10-03 08:07:07,2025-10-03 08:50:44,0,174.193.86.224,100,2617,1,2025-10-03 08:50:45,R_10S5MtMdyjSszIl,,,,,37.5702,-77.4239,anonymous,EN,22,1,1,2,2,6,2,0,0,163.939,0,2,1,2,1,2,2,4,4,6,5,6,6,0,0,167.683,0,2,1,2,2,2,1,3,3,1,5,5,5,0,0,198.12,0,1,1,2,2,1,2,1,3,2,5,5,5,0,0,82.4,0,1,1,2,3,2,2,3,3,5,7,5,5,0,0,105.122,0,1,1,2,7,2,2,3,3,5,5,5,5,0,0,107.722,0,2,1,3,2,1,3,3,2,5,1,5,5,0,0,98.009,0,2,1,3,3,2,4,3,3,5,5,5,5,0,0,102.1,0,1,1,2,3,1,5,3,3,5,5,5,5,0,0,118.152,0,1,2,2,3,2,4,3,3,5,5,5,6,0,0,92.825,0,1,1,2,2,2,1,11,89
2025-10-03 07:41:17,2025-10-03 09:02:13,0,128.82.4.174,100,4855,1,2025-10-03 09:02:13,R_6fq5hjQRDXA3FGC,,,,,36.8882,-76.3002,anonymous,EN,26,3,3,5,5,6,6,0,0,163.584,0,2,1,2,1,3,2,4,4,6,5,6,6,0,0,138.62,0,2,1,2,5,4,1,3,3,5,5,5,5,0,0,180.396,0,1,1,2,2,1,2,3,3,5,5,5,5,0,0,121.056,0,1,1,2,5,2,2,3,3,5,7,5,5,0,0,138.147,0,3,3,5,4,1,5,3,3,5,5,5,5,0,0,115.805,0,3,2,2,2,3,4,3,2,5,5,5,5,0,0,110.739,0,1,1,2,3,2,4,3,3,5,5,5,5,0,0,121.158,0,1,3,5,5,5,5,3,3,5,5,5,5,0,0,146.084,0,1,1,2,5,1,4,3,3,5,5,5,6,0,0,77.934,0,1,1,2,2,2,1,0,65
2025-10-07 10:55:46,2025-10-07 11:34:45,0,128.82.4.173,100,2339,1,2025-10-07 11:34:46,R_1RenMLVYqTVmcHK,,,,,36.8882,-76.3002,anonymous,EN,23,1,3,2,5,6,2,86.516,87.076,202.354,2,2,1,2,1,2,2,4,1,6,5,6,6,0,0,82.192,0,2,1,2,4,2,1,1,1,4,5,5,5,0,0,137.323,0,1,1,2,2,1,2,1,1,2,5,2,2,0,0,65.642,0,1,1,2,3,2,2,1,3,5,7,5,2,50.214,50.966,98.737,2,1,1,2,4,2,2,3,3,5,5,5,5,0,0,75.88,0,2,1,2,2,1,1,3,2,5,3,5,5,0,0,108.846,0,1,4,3,3,4,2,3,3,5,5,5,5,0,0,126.624,0,1,1,2,2,2,1,1,3,5,5,5,5,0,0,86.577,0,1,1,2,2,2,5,3,3,5,5,4,6,21.341,22.374,75.768,2,1,1,2,2,4,1,25,105
2025-10-08 07:43:33,2025-10-08 09:17:59,0,128.82.4.177,100,5665,1,2025-10-08 09:17:59,R_5dtBtop6W0TQccG,,,,,36.8882,-76.3002,anonymous,EN,12,1,1,4,5,6,2,0,0,318.005,0,2,1,2,1,2,6,2,1,2,1,2,1,0,0,85.699,0,2,1,2,2,6,1,1,1,4,5,4,5,0,0,163.567,0,1,1,2,2,1,5,1,1,2,3,2,1,0,0,144.835,0,1,1,2,5,2,2,1,3,4,7,5,5,0,0,153.955,0,1,1,1,1,2,3,3,3,5,5,5,5,103.348,104.19,173.262,2,2,1,2,2,1,5,3,2,3,1,5,5,0,0,128.229,0,1,1,3,3,5,4,3,3,5,5,5,5,0,0,200.296,0,1,1,2,5,2,1,3,3,5,5,5,5,190.727,190.727,191.313,1,1,2,5,2,2,4,3,3,5,3,5,6,0,0,112.867,0,1,1,2,2,2,1,30,79
2025-10-10 08:20:01,2025-10-10 08:46:51,0,128.82.4.175,100,1610,1,2025-10-10 08:46:52,R_5r1Vwq8Ds7zh09r,,,,,36.8882,-76.3002,anonymous,EN,28,3,3,3,5,6,2,0,0,45.663,0,2,3,5,1,3,2,4,4,6,5,6,6,0,0,48.807,0,2,1,2,5,4,1,3,3,5,5,5,5,0,0,82.204,0,2,2,2,2,1,3,3,3,5,5,5,5,60.494,60.494,61.35,1,2,1,2,5,2,2,1,3,5,7,5,5,4.972,4.972,46.501,1,1,3,5,7,5,5,3,3,5,5,5,5,0,0,44.373,0,2,1,3,2,1,5,3,2,5,5,5,5,0,0,50.394,0,1,1,3,3,4,4,3,3,5,5,5,5,0,0,49.197,0,1,1,1,5,1,3,3,3,5,5,5,5,0,0,34.684,0,2,2,5,5,5,5,3,1,1,5,1,6,0,0,34.743,0,3,1,1,5,1,6,5,42
2025-10-16 09:44:13,2025-10-16 11:41:50,0,128.82.4.174,100,7057,1,2025-10-16 11:41:51,R_7sdK6FOTBQmXbix,,,,,36.8882,-76.3002,anonymous,EN,19,1,1,3,1,6,6,0,0,156.966,0,1,1,3,1,1,2,4,1,2,5,2,1,0,0,106.733,0,2,1,2,1,2,1,1,1,2,5,5,5,0,0,126.128,0,1,1,2,2,1,2,3,3,5,3,5,5,0,0,65.019,0,1,1,2,3,2,2,1,3,5,7,5,5,0,0,101.302,0,1,3,2,4,2,2,1,3,5,1,5,5,0,0,112.392,0,1,1,2,1,1,3,3,2,3,3,5,5,0,0,96.462,0,1,1,3,3,2,4,3,3,5,5,5,5,0,0,105,0,1,1,2,2,2,5,3,3,5,5,5,5,0,0,116.624,0,1,1,2,3,5,3,3,3,5,5,2,6,73.668,80.388,86.366,4,1,1,2,2,2,1,24,88
